in s,C1 in V,C2 in V
-4.44918E-02,1.912E-01,5.346E-03
-4.44898E-02,1.912E-01,6.090E-03
-4.44877E-02,1.716E-01,6.586E-03
-4.44857E-02,1.716E-01,6.338E-03
-4.44837E-02,1.912E-01,6.090E-03
-4.44817E-02,1.326E-01,6.338E-03
-4.44797E-02,1.912E-01,6.090E-03
-4.44777E-02,1.716E-01,6.090E-03
-4.44756E-02,1.716E-01,6.338E-03
-4.44736E-02,1.716E-01,6.090E-03
-4.44716E-02,2.107E-01,6.090E-03
-4.44696E-02,1.912E-01,5.842E-03
-4.44676E-02,1.326E-01,5.594E-03
-4.44656E-02,1.912E-01,6.338E-03
-4.44636E-02,1.521E-01,6.090E-03
-4.44615E-02,1.912E-01,6.090E-03
-4.44595E-02,1.130E-01,6.338E-03
-4.44575E-02,1.521E-01,6.338E-03
-4.44555E-02,1.521E-01,5.098E-03
-4.44535E-02,2.107E-01,6.338E-03
-4.44515E-02,1.912E-01,5.842E-03
-4.44494E-02,1.912E-01,5.346E-03
-4.44474E-02,7.398E-02,6.338E-03
-4.44454E-02,1.716E-01,5.346E-03
-4.44434E-02,2.107E-01,6.090E-03
-4.44414E-02,1.912E-01,6.090E-03
-4.44394E-02,1.130E-01,6.090E-03
-4.44373E-02,1.716E-01,6.090E-03
-4.44353E-02,1.912E-01,6.090E-03
-4.44333E-02,1.716E-01,6.090E-03
-4.44313E-02,1.130E-01,5.842E-03
-4.44293E-02,1.716E-01,6.090E-03
-4.44273E-02,1.716E-01,5.594E-03
-4.44252E-02,1.521E-01,6.090E-03
-4.44232E-02,1.716E-01,5.842E-03
-4.44212E-02,1.716E-01,5.842E-03
-4.44192E-02,1.912E-01,5.346E-03
-4.44172E-02,1.912E-01,6.090E-03
-4.44152E-02,2.107E-01,6.090E-03
-4.44132E-02,1.912E-01,6.090E-03
-4.44111E-02,1.912E-01,5.842E-03
-4.44091E-02,1.521E-01,6.834E-03
-4.44071E-02,1.716E-01,6.090E-03
-4.44051E-02,1.716E-01,5.842E-03
-4.44031E-02,2.302E-01,6.338E-03
-4.44011E-02,1.521E-01,6.090E-03
-4.43990E-02,1.912E-01,6.338E-03
-4.43970E-02,1.521E-01,5.842E-03
-4.43950E-02,2.107E-01,6.090E-03
-4.43930E-02,1.912E-01,5.842E-03
-4.43910E-02,1.912E-01,5.842E-03
-4.43890E-02,2.302E-01,5.842E-03
-4.43869E-02,1.716E-01,5.594E-03
-4.43849E-02,1.326E-01,6.090E-03
-4.43829E-02,1.912E-01,5.594E-03
-4.43809E-02,1.716E-01,6.338E-03
-4.43789E-02,1.716E-01,6.090E-03
-4.43769E-02,2.302E-01,5.346E-03
-4.43748E-02,1.912E-01,5.098E-03
-4.43728E-02,1.716E-01,5.594E-03
-4.43708E-02,1.716E-01,6.586E-03
-4.43688E-02,1.912E-01,5.842E-03
-4.43668E-02,2.107E-01,6.090E-03
-4.43648E-02,1.912E-01,6.090E-03
-4.43628E-02,1.326E-01,6.338E-03
-4.43607E-02,1.716E-01,6.586E-03
-4.43587E-02,1.716E-01,5.842E-03
-4.43567E-02,2.107E-01,5.842E-03
-4.43547E-02,2.107E-01,5.842E-03
-4.43527E-02,1.326E-01,6.586E-03
-4.43507E-02,1.912E-01,5.346E-03
-4.43486E-02,1.912E-01,5.098E-03
-4.43466E-02,1.912E-01,5.346E-03
-4.43446E-02,1.521E-01,6.090E-03
-4.43426E-02,1.326E-01,6.090E-03
-4.43406E-02,1.912E-01,6.586E-03
-4.43386E-02,2.302E-01,6.338E-03
-4.43365E-02,2.302E-01,5.594E-03
-4.43345E-02,2.107E-01,6.338E-03
-4.43325E-02,1.521E-01,6.090E-03
-4.43305E-02,2.107E-01,7.082E-03
-4.43285E-02,1.716E-01,5.842E-03
-4.43265E-02,1.521E-01,6.338E-03
-4.43244E-02,1.716E-01,5.594E-03
-4.43224E-02,1.716E-01,5.098E-03
-4.43204E-02,2.107E-01,6.090E-03
-4.43184E-02,1.326E-01,5.842E-03
-4.43164E-02,1.716E-01,6.090E-03
-4.43144E-02,1.521E-01,6.090E-03
-4.43124E-02,1.716E-01,5.842E-03
-4.43103E-02,1.912E-01,5.842E-03
-4.43083E-02,1.130E-01,6.338E-03
-4.43063E-02,1.716E-01,6.586E-03
-4.43043E-02,1.326E-01,5.842E-03
-4.43023E-02,2.107E-01,6.586E-03
-4.43003E-02,1.912E-01,5.594E-03
-4.42982E-02,1.521E-01,6.090E-03
-4.42962E-02,7.398E-02,6.090E-03
-4.42942E-02,1.716E-01,6.090E-03
-4.42922E-02,9.352E-02,5.842E-03
-4.42902E-02,1.716E-01,6.090E-03
-4.42882E-02,1.521E-01,5.842E-03
-4.42861E-02,1.521E-01,5.842E-03
-4.42841E-02,1.716E-01,6.586E-03
-4.42821E-02,1.716E-01,6.090E-03
-4.42801E-02,2.107E-01,6.586E-03
-4.42781E-02,1.912E-01,6.090E-03
-4.42761E-02,1.716E-01,5.842E-03
-4.42740E-02,1.716E-01,6.090E-03
-4.42720E-02,1.716E-01,6.338E-03
-4.42700E-02,1.326E-01,5.842E-03
-4.42680E-02,1.912E-01,6.338E-03
-4.42660E-02,1.912E-01,6.338E-03
-4.42640E-02,2.107E-01,5.842E-03
-4.42620E-02,1.716E-01,6.586E-03
-4.42599E-02,1.912E-01,6.338E-03
-4.42579E-02,1.521E-01,5.594E-03
-4.42559E-02,1.716E-01,5.594E-03
-4.42539E-02,2.107E-01,6.090E-03
-4.42519E-02,1.912E-01,5.842E-03
-4.42499E-02,1.521E-01,5.346E-03
-4.42478E-02,1.716E-01,6.090E-03
-4.42458E-02,1.716E-01,6.586E-03
-4.42438E-02,1.130E-01,6.090E-03
-4.42418E-02,1.912E-01,5.594E-03
-4.42398E-02,1.326E-01,6.090E-03
-4.42378E-02,1.716E-01,6.090E-03
-4.42357E-02,1.326E-01,5.842E-03
-4.42337E-02,1.912E-01,6.090E-03
-4.42317E-02,1.912E-01,6.090E-03
-4.42297E-02,1.130E-01,6.090E-03
-4.42277E-02,1.326E-01,6.586E-03
-4.42257E-02,1.326E-01,5.594E-03
-4.42236E-02,1.326E-01,6.090E-03
-4.42216E-02,1.521E-01,6.090E-03
-4.42196E-02,1.912E-01,5.346E-03
-4.42176E-02,1.912E-01,5.594E-03
-4.42156E-02,1.716E-01,6.090E-03
-4.42136E-02,2.107E-01,6.090E-03
-4.42116E-02,9.352E-02,6.586E-03
-4.42095E-02,1.130E-01,6.338E-03
-4.42075E-02,1.716E-01,5.594E-03
-4.42055E-02,1.716E-01,6.090E-03
-4.42035E-02,1.912E-01,6.090E-03
-4.42015E-02,1.912E-01,5.842E-03
-4.41995E-02,1.716E-01,6.586E-03
-4.41974E-02,1.716E-01,6.338E-03
-4.41954E-02,1.326E-01,5.842E-03
